time,poses.0.0.0,poses.0.0.1,poses.0.1.0,poses.0.1.1,poses.0.2.0,poses.0.2.1,poses.0.3.0,poses.0.3.1,poses.0.4.0,poses.0.4.1,poses.0.5.0,poses.0.5.1,poses.0.6.0,poses.0.6.1,poses.0.7.0,poses.0.7.1,poses.0.8.0,poses.0.8.1,poses.0.9.0,poses.0.9.1,poses.0.10.0,poses.0.10.1,poses.0.11.0,poses.0.11.1,poses.0.12.0,poses.0.12.1,poses.0.13.0,poses.0.13.1,poses.0.14.0,poses.0.14.1,poses.0.15.0,poses.0.15.1,poses.0.16.0,poses.0.16.1
0.2,0.542836736,0.093422176,0.542455361,0.074265113,0.529538882,0.072681365,0.538400905,0.083446582,0.485867847,0.082281961,0.567550335,0.20927454,0.444048173,0.231133609,0.679251415,0.192066774,0.335864502,0.210187298,0.772256496,0.178370312,0.223580331,0.200909345,0.568223475,0.538121361,0.477715272,0.547557673,0.698307947,0.634475528,0.382310198,0.712853711,0.702902043,0.909478793,0.264808093,0.900677809
0.4,0.542837155,0.093422278,0.542455437,0.074265045,0.52953892,0.07268123,0.538400905,0.083447259,0.485867694,0.082281791,0.56754222,0.209267428,0.444045544,0.231125413,0.679250348,0.192066639,0.335864921,0.210187366,0.772256649,0.178370245,0.223580331,0.200909345,0.568225532,0.538131724,0.477712681,0.547575689,0.698307642,0.634475393,0.382316599,0.712900514,0.702902043,0.909478793,0.264818532,0.900704767
0.6,0.542837155,0.093422278,0.542455437,0.074265045,0.52953892,0.07268123,0.538400905,0.083447259,0.485867694,0.082281791,0.56754222,0.209267428,0.444045544,0.231125413,0.679250348,0.192066639,0.335864921,0.210187366,0.772256649,0.178370245,0.223580331,0.200909345,0.568225532,0.538131724,0.477712681,0.547575689,0.698307642,0.634475393,0.382316599,0.712900514,0.702902043,0.909478793,0.264818532,0.900704767
0.8,0.542836736,0.093422176,0.542455361,0.074265113,0.529538882,0.072681365,0.538400905,0.083446582,0.485867847,0.082281961,0.567550335,0.20927454,0.444048173,0.231133609,0.679251415,0.192066774,0.335864502,0.210187298,0.772256496,0.178370312,0.223580331,0.200909345,0.568223475,0.538121361,0.477715272,0.547557673,0.698307947,0.634475528,0.382310198,0.712853711,0.702902043,0.909478793,0.264808093,0.900677809
